year,month,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1999,3,0.574,0.252,0.371,0.347,0.643,0.795,0.523,0.472,0.558,0.29,-0.139,0.15,-0.449,-0.321,-0.404,-0.198,-0.583
1999,4,0.554,0.307,0.482,0.527,1.173,1.49,1.331,1.22,2.313,1.792,1.435,1.616,0.955,0.289,0.553,0.306,0.328
1999,5,0.37,0.298,0.241,0.476,0.806,1.207,1.038,0.674,2.21,1.699,1.304,1.455,0.827,0.297,0.497,0.347,0.327
1999,6,0.395,0.428,0.385,0.623,1,1.28,0.914,0.682,2.035,1.922,0.698,0.849,0.666,0.178,0.258,0.176,0.097
1999,7,0.497,0.45,0.399,0.487,0.753,0.605,0.472,0.474,1.19,1.206,0.836,0.919,0.771,0.419,0.465,0.288,0.266
1999,8,0.512,0.458,0.382,0.654,0.93,0.877,0.66,0.501,1.201,1.091,0.576,0.533,0.506,0.243,0.306,0.217,0.131
1999,9,0.448,0.402,0.32,0.219,0.248,0.109,0.253,0.363,1.075,1.637,1.343,1.437,1.218,0.665,0.64,0.455,0.329
1999,10,0.433,0.239,0.3,0.292,0.634,0.33,0.41,0.314,0.66,0.686,0.508,0.537,0.439,0.098,0.102,0.048,-0.192
1999,11,0.454,0.312,0.303,0.372,0.379,0.186,0.261,-0.127,-0.093,-0.229,-0.94,-1.041,-0.842,-0.641,-0.641,-0.379,-0.717
1999,12,0.198,0.256,0.328,0.485,0.574,0.427,0.768,0.628,1.163,1.09,0.423,0.6,0.48,-0.117,-0.008,-0.04,-0.248
2000,1,0.276,0.231,0.421,0.273,0.495,0.297,0.012,0.032,0.107,-0.289,-0.426,-0.574,-0.353,-0.473,-0.293,-0.116,-0.448
2000,2,0.146,0.201,0.312,0.153,-0.066,-0.05,-0.319,-0.265,-0.15,-0.477,-0.667,-0.684,-0.251,-0.114,-0.266,0.07,-0.416
2000,3,0.378,0.342,0.524,0.609,1.093,1.159,1.222,0.967,1.862,1.314,0.862,1.097,0.572,-0.075,0.109,0.086,-0.061
2000,4,0.451,0.324,0.376,0.615,0.825,0.905,0.573,0.386,0.689,0.485,0.242,0.336,0.387,0.057,0.209,0.091,0.015
2000,5,0.48,0.336,0.429,0.534,0.941,1.239,0.96,0.878,1.353,1.296,0.562,0.665,0.474,0.15,0.251,0.201,0.1
2000,6,0.635,0.384,0.342,0.286,0.265,0.477,0.376,0.577,1.165,1.284,1.246,1.368,1.224,0.483,0.566,0.337,0.258
2000,7,0.607,0.521,0.324,0.709,1.047,1.12,0.954,0.916,1.672,1.344,0.903,0.702,0.719,0.358,0.427,0.279,0.207
2000,8,0.286,0.275,0.304,0.39,0.435,0.509,0.43,0.652,1.416,1.305,0.879,0.923,0.768,0.449,0.487,0.348,0.253
2000,9,0.41,0.295,0.265,0.348,0.561,0.614,0.438,0.576,0.933,1.06,0.635,0.762,0.599,0.242,0.251,0.158,0.002
2000,10,0.369,0.257,0.306,0.431,0.718,0.667,0.789,0.655,0.945,0.883,0.729,0.653,0.509,0.108,0.108,0.141,-0.169
2000,11,0.315,0.278,0.472,0.577,0.544,0.562,0.593,0.309,0.527,0.409,0.256,0.211,0.272,-0.016,0.222,0.015,-0.15
2000,12,0.048,0.135,0.221,0.35,0.39,0.387,0.185,0.148,0.367,0.328,-0.03,0.019,-0.147,-0.248,-0.314,-0.086,-0.265
2001,1,0.163,0.264,0.196,0.191,0.156,0.02,0.268,0.212,0.325,0.202,-0.142,0.011,-0.108,-0.257,-0.409,-0.204,-0.242
2001,2,0.076,0.115,0.429,0.119,0.28,0.188,0.123,0.312,0.38,0.219,0.383,0.294,0.546,0.144,0.232,0.051,-0.098
2001,3,0.264,0.246,0.359,0.573,0.807,0.945,0.691,0.656,1.21,1.351,0.739,0.876,0.789,0.235,0.541,0.167,0.109
2001,4,0.453,0.551,0.793,0.943,1.311,1.091,0.904,0.803,1.22,0.745,0.81,0.799,0.405,-0.165,0.182,0.078,0.186
2001,5,0.199,0.225,0.053,0.157,0.568,0.754,0.731,1.233,1.86,1.746,1.441,1.666,1,0.439,0.471,0.282,0.312
2001,6,0.352,0.386,0.247,0.562,1.04,1.093,1.273,1.356,1.947,1.471,1.115,1.013,0.612,0.274,0.418,0.219,0.283
2001,7,0.455,0.384,0.355,0.56,0.795,0.815,0.775,0.973,2.108,2.263,2.214,1.45,1.347,0.96,0.776,0.525,0.577
2001,8,0.289,0.388,0.372,0.517,0.847,0.86,0.915,1.033,1.842,1.172,0.479,0.232,0.267,0.082,0.161,0.072,0.024
2001,9,0.445,0.349,0.365,0.407,0.585,0.493,0.413,0.458,1.147,1.227,0.712,0.91,0.926,0.639,0.43,0.352,0.247
2001,10,0.168,0.068,0.16,0.134,0.245,0.275,0.515,0.558,1.273,0.951,1.19,0.581,0.792,0.274,0.108,0.128,0.203
2001,11,0.275,0.264,0.396,0.4,0.382,0.171,0.201,0.004,0.077,-0.227,-0.839,-0.853,-0.711,-0.601,-0.725,-0.382,-0.615
2001,12,0.507,0.4,0.469,0.363,0.606,0.392,0.243,0.322,0.443,0.096,-0.43,-0.286,-0.303,-0.302,-0.257,0.024,-0.168
2002,1,0.433,0.455,0.51,0.498,0.824,0.862,0.68,0.449,0.968,0.726,-0.157,0.209,-0.034,-0.539,-0.312,-0.168,-0.525
2002,2,0.31,0.366,0.465,0.148,0.461,0.49,-0.102,0.225,0.339,0.572,0.662,0.898,0.562,0.015,0.089,-0.023,-0.18
2002,3,0.516,0.538,0.957,0.738,0.791,0.718,0.823,0.538,1.167,0.89,0.893,0.692,0.598,-0.151,0.236,0.001,-0.068
2002,4,0.353,0.488,0.568,0.777,0.905,0.823,0.787,0.482,1.397,1.213,1.143,1.023,1.098,0.361,0.678,0.234,0.263
2002,5,0.463,0.526,0.728,1.042,1.092,0.767,1.317,0.772,1.833,1.433,0.943,0.804,0.787,0.155,0.428,0.152,0.125
2002,6,0.44,0.389,0.418,0.876,1.383,1.733,1.506,1.386,2.751,2.076,1.034,1.251,0.757,0.236,0.363,0.15,0.178
2002,7,0.36,0.277,0.307,0.421,0.556,0.431,0.478,0.528,1.617,2.335,1.428,1.881,1.303,0.644,0.652,0.415,0.393
2002,8,0.318,0.312,0.372,0.538,0.709,0.822,0.815,0.857,1.656,2.158,1.551,1.343,1.166,0.547,0.543,0.503,0.421
2002,9,0.386,0.412,0.44,0.507,0.46,0.452,0.447,0.364,0.727,1.047,1.302,1.116,0.778,0.482,0.344,0.38,0.256
2002,10,0.546,0.347,0.315,0.408,0.393,0.42,0.575,0.817,1.196,1.232,1.438,1.088,0.806,0.521,0.343,0.259,0.377
2002,11,0.139,0.048,0.266,0.143,0.245,0.204,0.173,-0.095,-0.025,-0.09,-0.343,-0.384,-0.425,-0.754,-0.867,-0.623,-0.967
2002,12,0.457,0.29,0.381,0.218,0.017,-0.184,-0.385,-0.398,-0.591,-0.709,-0.762,-0.576,-0.6,-0.595,-1.022,-0.355,-1.241
2003,1,0.211,0.379,0.303,0.32,0.193,0.459,0.043,-0.013,-0.015,0.189,-0.944,-0.319,-0.756,-0.425,-0.534,-0.069,-0.786
